id,etiqueta,nivel,numero,parte,titulo_pot,capitulo_pot,tipo,tema,es_definicion,resumen
n0,Artículo 612. Incorporación del plano topográfico y diseño vial.,3,612,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO III  SISTEMA  PARTICIPATIVO E INSTITUCIONAL,CAPÍTULO II           GESTIÓN DEL CONOCIMIENTO Y PARTICIPACIÓN,articulo,Movilidad,0,"El trámite de Incorporación del Plano Topográfico y Diseño Vial a la cartografía de
Municipio, se establece como requisito previo para la solicitud de licencias
urbanísticas, según lo establecido por el Decreto Municipal 568 de 2.011 y demás
normas que lo modifiquen, complementen o sustituyan."
n3,Artículo 157. Definición del Subsistema de Servicios Públicos.,3,157,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO VI  SISTEMA PUBLICO  Y COLECTIVO,,articulo,Definiciones,1,"Hace parte del Sistema Público y Colectivo. Lo constituyen todas aquellas
infraestructuras o sus componentes aislados, que conforman redes de distribución
o de manera independiente, sirven para dotar al territorio urbano-rural (Barrio-
Vereda) con las diferentes modalidades de su prestación. Ver Mapa 15. Subsistema
de Servicios Públicos."
n4,Artículo 54. Zonificación de amenaza por movimientos en masa.,3,54,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO IV  AREAS DE AMENAZA Y RIESGO,,articulo,Riesgo y Amenazas,0,"Las zonas de amenaza por movimientos en masa se clasifican en cuatro categorías:
muy baja, baja, media y alta. Ver Mapa 5. Amenaza por movimientos en masa, de
acuerdo con las definiciones establecidas en el Documento Técnico de Soporte,
Tomo IVa. Formulación.
1.    Zonas de amenaza muy baja (ZAMB). Corresponden a áreas
      geológicamente estables, de pendientes bajas, constituidas por depósitos
      aluviales del río Medellín y sus quebradas tributarias principales, con baja a
      nula probabilidad de que se presenten movimientos en masa, debido a la
      acción en conjunto de la lluvia acumulada y las pendientes. Estas zonas están

      principalmente asociadas a la unidad geomorfológica “Superficies Suaves en
      Depósitos Poco Incisados (SSDPI)”. Se excluyen de esta categoría las zonas
      de bajo gradiente donde hay llenos de escombros o basuras. Los daños en
      sistemas de líneas vitales, estructuras hidráulicas, socavación lateral de
      corrientes y excavaciones que generen abatimientos súbitos de niveles
      freáticos, pueden presentar procesos de movimientos en masa en este tipo de
      áreas.
      Del manejo de las zonas de amenaza muy baja por movimientos en masa.
      Las áreas clasificadas de amenaza muy baja, podrán ser objeto de
      otorgamiento de licencias urbanísticas y prestación de servicios públicos
      convencionales. La implementación o el desarrollo de cualquiera de las
      actuaciones, deberá cumplir con la norma urbanística que se establezca en el
      presente Acuerdo y las disposiciones establecidas en la Norma NRS-10, el
      Acuerdo Metropolitano 09 de 2.012 o demás normas que las adicionen,
      modifiquen o sustituyan.
2.    Zonas de amenaza baja (ZAB). Corresponden a áreas con aceptables
      condiciones de estabilidad, sin evidencias físicas o históricas de procesos
      morfodinámicos, o si existen, su densidad es baja, con baja probabilidad de
      que se presenten movimientos en masa, debido a la acción en conjunto de la
      lluvia acumulada y las pendientes. Estas zonas están asociadas a todas las
      unidades geomorfológicas presentes en el municipio, exceptuando la unidad
      de “Superficies Suaves en Depósitos Poco Incisados (SSDPI)”, la cual está en
      los depósitos aluviales del río Medellín. Se recomienda que en este tipo de
      zonas se realice un manejo y uso adecuado del suelo que evite la ocurrencia
      de procesos morfodinámicos y conserve las actuales condiciones de
      estabilidad.
      Del manejo de las zonas de amenaza baja por movimientos en masa. Las
      áreas clasificadas de amenaza baja, podrán ser objeto de otorgamiento de
      licencias urbanísticas y prestación de servicios públicos convencionales. La
      implementación o el desarrollo de cualquiera de las actuaciones, deberá
      cumplir con la norma urbanística que se establezca en el presente Plan y las
      disposiciones establecidas en la Norma NRS-10, el Acuerdo Metropolitano 09
      de 2.012 o demás normas que las adicionen, modifiquen o sustituyan.
3.    Zonas de amenaza media (ZAM). Son áreas con un nivel medio de
      probabilidad que se presenten movimientos en masa, debido a la acción en

 conjunto de la lluvia, la pendiente y en alguna medida a factores antrópicos
 como prácticas agrícolas. Presentan procesos morfodinámicos generalmente
 inactivos de poca densidad que pueden reactivarse si no se llevan a cabo
 acciones correctivas, en especial con el uso del suelo. Estas zonas se
 encuentran asociadas principalmente a las unidades geomorfológicas “Valle
 Medio Bloque Lomos (VMBL) y Superficies Moderadas en Depósitos
 Moderadamente Incisados (SMDMI)”. Las zonas de amenaza media, también
 pueden estar constituidas por terraplenes o llenos que poseen un adecuado
 manejo técnico.
 Del manejo de las zonas de amenaza media por movimientos en masa.
 Las áreas urbanizadas, ocupadas o edificadas, caracterizadas como de
 amenaza media por movimientos en masa que presenten sectores con
 manifestaciones de deterioro estructural, deberán ser objeto de estudios
 geotécnicos y vulnerabilidad física, con el fin de determinar las obras de
 mitigación que requiere el área, el tipo de intervención para cada vivienda que
 posibiliten su legalización, reconocimiento y mejoramiento; las zonas o
 sectores que ya cuenten con este tipo de estudios, deberán acometer las
 acciones y obras recomendadas en ellos. En estas zonas se deberán
 adelantar los planes y proyectos enmarcados en el Programa de Mejoramiento
 Integral de Barrios.
 Cuando el predio esté ubicado en zonas de amenaza media de origen
 geotécnico, se deberán adjuntar a las solicitudes de licencias urbanísticas los
 estudios detallados de amenaza por fenómenos de remoción en masa,
 siguiendo las especificaciones técnicas establecidas en la reglamentación que
 la administración municipal expida para tal efecto y en el numeral 4 del artículo
 22 del Decreto Nacional 1469 de 2.010 o norma que lo adicione, modifique o
 sustituya o el numeral 4 del artículo 23 de la misma norma, que permitan
 determinar la viabilidad del futuro desarrollo, siempre y cuando se garantice la
 mitigación de la amenaza.
 En estos estudios deberá incluirse el diseño de las medidas de mitigación y
 serán elaborados y firmados por profesionales idóneos en las materias,
 quienes conjuntamente con el urbanizador serán responsables de los mismos,
 sin perjuicio de la responsabilidad por la correcta ejecución de las obras de
 mitigación. En todo caso, las obras de mitigación deberán ser ejecutadas por
 el urbanizador responsable o, en su defecto, por el titular durante la vigencia
 de la licencia.

      Los lotes o construcciones que se encuentren localizados en zonas de
      amenaza media contigua a zonas de amenaza alta, cuya clasificación no
      corresponda a estudios de amenaza de detalle, de acuerdo con el Mapa de
      zonificación geológica – geotécnica y de estabilidad de laderas o de amenaza
      por movimientos en masa del documento técnico de soporte, para determinar
      a qué nivel de amenaza correspondiente, se deberá efectuar una validación
      de campo por parte de personal experto del Departamento Administrativo de
      Planeación.
4.    Zonas de amenaza alta (ZAA). Corresponden a áreas con inestabilidad
      manifiesta o con alta probabilidad de presentar movimientos en masa, debido
      a la acción en conjunto de la lluvia, la geología, la geomorfología y factores
      antrópicos. Estas zonas se encuentran asociadas principalmente a la unidad
      geomorfológica “Valle Medio Bloque Lomos (VMBL)”. Este tipo de zonas, por
      sus condiciones físicas han presentado o pueden presentar procesos de
      remoción en masa a futuro.
      Del manejo de las zonas de amenaza alta por movimientos en masa. Las
      áreas urbanizadas, ocupadas o edificadas caracterizadas como de amenaza
      alta por movimientos en masa, que no poseen estudios de amenaza de detalle,
      tendrán que someterse a estudios de riesgo de detalle, que permitan definir la
      categoría del riesgo y si este es mitigable o no mitigable. Las obras de
      mitigación como resultado de los estudios de amenaza o riesgo de detalle, se
      deben incorporar en el Plan Municipal de Gestión del Riesgo y en los planes
      de acción de cada dependencia.
      Las áreas urbanizadas, ocupadas o edificadas que poseen estudios de
      amenaza de detalle, que han sido caracterizadas como de amenaza alta, se
      clasifican como zonas con condiciones de riesgo y deben ser objeto de
      estudios detallados de riesgo, que permitan definir cuales áreas al interior de
      estas zonas, serán clasificadas como de alto riesgo mitigable y no mitigable.
      Las zonas no urbanizadas, ocupadas o edificadas categorizadas de amenaza
      alta, que pretendan ser desarrolladas urbanísticamente, deberán previamente
      elaborar los estudios de amenaza de detalle, siguiendo las especificaciones
      técnicas y el procedimiento para la incorporación de sus resultados en la
      cartografía oficial del Plan, establecidas en la reglamentación que expedirá la
      Administración Municipal para tal efecto, en consonancia con la normativa
      nacional vigente.

      En las zonas caracterizadas como de amenaza alta por movimiento en masa,
      no se permitirá la ubicación y desarrollo de escombreras.
Parágrafo La Administración Municipal expedirá la reglamentación que establezca
las especificaciones técnicas para los estudios de amenaza, vulnerabilidad y riesgo
de detalle, así como el procedimiento para la incorporación de los resultados de
dichos estudios en la cartografía oficial del Plan. Dicha reglamentación deberá
incorporar lo establecido en el presente Acuerdo, en el Decreto Ley 019 de 2.012 y
en el Decreto Nacional 1807 de 2.014 del Ministerio de Vivienda, Ciudad y Territorio
o las normas que los modifiquen o sustituyan."
n5,CAPITULO III  ESTRUCTURA  ECOLOGICA COMPLEMENTARIA,2,3,,TITULO III  ESTRUCTURA ECOLOGICA,,capitulo,Medio Ambiente|Intervención Estratégica,0,Capítulo III  ESTRUCTURA  ECOLOGICA COMPLEMENTARIA
n6,Artículo 19. Definición Estructura Ecológica.,3,19,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO III  ESTRUCTURA ECOLOGICA,CAPITULO III  ESTRUCTURA  ECOLOGICA COMPLEMENTARIA,articulo,Medio Ambiente|Definiciones,1,"La Estructura Ecológica (EE) de Medellín es el sistema interconectado de las áreas
con alto valor ambiental que sustenta los procesos ecológicos esenciales del
territorio y la oferta de servicios ecosistémicos, que se integran estructural y
funcionalmente con la estructura ecológica regional, con la finalidad de brindar
capacidad de soporte para el desarrollo socioeconómico y cultural de la población.
Igualmente, se incorporan en la Estructura Ecológica los lineamientos establecidos
en el Acuerdo 10 de 2.014, Política de Biodiversidad para Medellín. Ver Mapa 4.
Estructura Ecológica Principal."
n7,TITULO II  CLASIFICACION DEL SUELO,1,2,,,,titulo,Suelo,0,Título II  CLASIFICACION DEL SUELO
n9,Artículo 449. Sistema de gestión en los macroproyectos del Río Medellín.,3,449,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I  MARCO ESTRATE GICO DEL PLAN DE ORDENAMIENTO,CAPÍTULO I            CRITERIOS GENERALES DEL SISTEMA DE GESTIÓN,articulo,Intervención Estratégica,0,"La formulación y adopción de los macroproyectos del Río deberán incorporar los
siguientes elementos para su gestión.
1.    Elementos para la gestión de los macroproyectos del Río.
      a) Las cargas urbanísticas relacionadas con el sistema vial del Río, se
         asumirán prevalentemente con recursos provenientes de contratos de
         concesión, valorización y/o participación en plusvalía.

 b) Las dotaciones de espacio público, equipamientos, redes y sistemas
    locales, deberán ser generadas a partir de los aportes a cargas urbanísticas
    de los proyectos privados y público-privados que se desarrollen en las áreas
    de Renovación Urbana aledañas, así como en las áreas de Consolidación
    con posibilidades de densificación vinculadas en estos territorios.
 c) Los macroproyectos contendrán, articularán y diseñarán los instrumentos
    de planificación complementarios y las actuaciones urbanísticas de
    desarrollo lote a lote, que estructuran este territorio y reglamentarán en
    detalle la norma urbanística general del presente Acuerdo para los
    respectivos polígonos.
 d) Las Áreas para la Preservación de Infraestructuras y del Sistema Público y
    Colectivo –API-, alojadas en estas áreas de intervención que ya estén
    aprobadas, mantendrán las disposiciones de aporte de cargas y los posibles
    beneficios conferidos por las respectivas resoluciones. En aquellos casos
    en los cuales no exista Plan Maestro o instrumento para el API, o que estos
    se modifiquen, los polígonos involucrados podrán participar del aporte a
    cargas del ámbito, en la medida de los beneficios conferidos.
 e) En el polígono de Conservación Nivel 1 (C1) del barrio Prado Centro y los
    diferentes inmuebles declarados de protección patrimonial y sus áreas de
    influencia identificados con el tratamiento de Conservación Nivel 3 (C3),
    incluidos en el macroproyecto del Río Centro, la Administración Municipal
    aplicará la Trasferencia de Derechos de Construcción y Desarrollo en
    términos de la Ley 388 de 1997 y el Decreto Ley 151 de 1998. También se
    dará aplicación a los beneficios tributarios y en la estratificación.
 f) Los polígonos de renovación urbana que no cuenten con plan parcial
    adoptado, deberán ser formulados y adoptados en su totalidad por el
    macroproyecto, estableciendo el tamaño mínimo de las unidades de
    actuación urbanística que se habiliten mediante integraciones factibles de
    lotes, el desarrollo inmobiliario a través de una licencia de urbanización.
 g) Las unidades de actuación en planes parciales de renovación urbana serán
    las responsables de aportar las cargas urbanísticas asociadas a los
    beneficios constructivos habilitados, sus aportes esencialmente tendrán
    como prioridad la financiación de las cargas generales del macroproyecto,
    así como en segundo lugar, la dotación de espacios públicos y vías de
    proximidad de la propia actuación urbanística; esta distribución de cargas

     deberá quedar detallada en el acto administrativo de adopción del
     macroproyecto.
 h) El Macroproyecto respectivo, deberá incorporar a su interior cuatro escalas
    de reparto a diseñar y reglamentar: la escala de ciudad donde se reparten
    las obligaciones de financiación del macroproyecto; la escala general del
    mismo en relación con el aporte de los desarrollos con destino al proyecto
    Parques del Río y sus componentes; la escala del plan parcial a la que
    pertenezca cada Unidad, en términos de la dotación de parques, vías, redes
    y equipamientos de proximidad o urbanismo local; y finalmente, la escala al
    interior de la Unidad en forma de disponer lo que cada lote de acuerdo con
    su valor y aportes en la misma Unidad, deberá recibir porcentualmente de
    los beneficios.
 i) Todos los macroproyectos deberán realizar el anuncio de proyecto, según
    la normativa existente sobre la materia, para evitar la elevación de los
    precios del suelo, tanto en los casos en que se requiera la adquisición de
    suelos para espacios públicos y equipamientos colectivos, como para
    utilizar si se presenta el caso, la expropiación a favor de terceros
    implementando las unidades de actuación urbanística en los planes
    parciales de renovación urbana.
 j) La Administración Municipal deberá realizar el cobro de plusvalías
    aplicando el decreto 752 de 2.013 o la norma que la modifique o sustituya,
    entendiendo como hecho generador las obras públicas que se realicen y
    que no se financien con aportes de obligaciones urbanísticas o con
    valorización; igualmente, podrá realizar los estudios para el cobro por el
    hecho generador de cambio de usos donde hubiera lugar.
 k) El presente Acuerdo establece los porcentajes mínimos de Vivienda de
    Interés Social VIS y de Vivienda de Interés Prioritario VIP, para los procesos
    de renovación urbana. En el primer caso, esta destinación se considera
    como la exigencia de un producto inmobiliario de menor valor, pero con
    opción de generar rentabilidades moderadas, por tanto no se considera una
    carga urbanística; en el segundo caso, la obligación de ofrecer VIP se
    considera una carga urbanística que se tendrá en cuenta en la contabilidad
    general del sistema de reparto que diseñe cada macroproyecto. Esta carga
    es factible de asumir en combinación con las demás destinaciones

          comerciales, de servicios, industriales y de vivienda libre, que se habilitan
          en estos territorios.
2.    Gestión para el proyecto Parques del Río Medellín.
Autorícese al Alcalde de Medellín para participar en la creación de una sociedad de
capital mayoritariamente público, de las contempladas en la Ley 489 de 1.998, con
domicilio en la ciudad de Medellín, la cual tendrá por objeto la construcción,
operación, administración y sostenimiento del proyecto Parques del Río Medellín,
quien actuará como gestor urbano del proyecto. Para el efecto, el Municipio podrá
hacer los aportes establecidos en los artículos 100 de la Ley 489 de 1.998 y 463 del
Código de Comercio.
Empresas Públicas de Medellín – EPM- podrá participar, directamente o a través de
una de sus filiales, en la sociedad que se conforme para la construcción, operación,
administración y sostenimiento del Proyecto Parques del Río."
n13,Artículo 444. Definición de Cargas y Beneficios Urbanísticos.,3,444,PARTE I. COMPONENTE GENERAL. NORMA ESTRUCTURAL,TITULO I  SISTEMA DE GESTION PARA LA EQUIDAD TERRITOR IAL,CAPITULO I  CRITERIOS GENERALES DEL SISTEMA DE GESTION,articulo,Definiciones,1,"El Sistema de Gestión para la Equidad Territorial se fundamenta en los conceptos
de cargas y de beneficios, que para efectos del presente Plan, se definen así:

1.    Cargas urbanísticas: Se consideran cargas urbanísticas las inversiones en
      suelos y el suelo mismo comprometido en la realización de los componentes
      del Sistema Público y Colectivo (Subsistemas de Espacio Público de
      Esparcimiento y Encuentro, Equipamientos colectivos, Patrimonio Cultural
      Inmueble, Servicios Públicos y Movilidad), así como los componentes de la
      Estructura Ecológica Principal y la reserva de suelos para Vivienda de Interés
      Prioritario o su construcción.
      Igualmente, se consideran cargas urbanísticas, los costos materiales y
      sociales derivados de la formulación y gestión de los instrumentos de
      planificación y gestión, así como las diferentes formas de retorno de plusvalías
      al Municipio y pago de contraprestaciones originadas en la obtención de
      beneficios urbanísticos.
2.    Beneficios urbanísticos: Se consideran beneficios urbanísticos, las rentas
      potenciales del suelo que se materializan en utilidades económicas, derivadas
      de la aplicación de las normas de aprovechamiento, en forma de densidades
      máximas de vivienda, índices de construcción, ocupación y alturas, así como
      las normas de usos del suelo, sobre los inmuebles que hacen parte de los
      sistemas de ocupación pública y privada, originando plusvalías en el sentido
      genérico de la expresión.
Parágrafo: La obtención de beneficios urbanísticos originados a inmuebles
privados en el presente Plan, deriva en la asignación de obligaciones urbanísticas,
las cuales incluyen el aporte de cesiones y otras formas de pago de
contraprestaciones a la Administración Municipal, por la obtención de dicho
beneficio económico o renta, aplicando los instrumentos que para tal efecto, se
describen en el presente capítulo."
n17,TITULO III . APROVECHAMIENTOS Y OBL IGACIONES URBAN ISTICA S.,1,3,,,,titulo,Densidad y Edificabilidad,0,Título III . APROVECHAMIENTOS Y OBL IGACIONES URBAN ISTICA S.
n18,TITULO II  USOS GENERALES DEL SUELO,1,2,,,,titulo,,0,Título II  USOS GENERALES DEL SUELO
